Country,code,Suicides_No
Albania,ALB,1970
Antigua and Barbuda,ATG,11
Argentina,ARG,82219
Armenia,ARM,1905
Aruba,ABW,101
Australia,AUS,70111
Austria,AUT,50073
Azerbaijan,AZE,1656
Bahamas,BHS,93
Bahrain,BHR,463
Barbados,BRB,177
Belarus,BLR,59892
Belgium,BEL,62761
Belize,BLZ,348
Bosnia and Herzegovina,BIH,318
Brazil,BRA,226613
Bulgaria,BGR,36388
Cabo Verde,CPV,42
Canada,CAN,107561
Chile,CHL,40895
Colombia,COL,53080
Costa Rica,CRI,6792
Croatia,HRV,18429
Cuba,CUB,41418
Cyprus,CYP,412
Czech Republic,CZE,43687
Denmark,DNK,15297
Dominica,DMA,0
Ecuador,ECU,20660
El Salvador,SLV,11683
Estonia,EST,7034
Fiji,FJI,304
Finland,FIN,33677
France,FRA,329127
Georgia,GEO,3224
Germany,DEU,291262
Greece,GRC,12368
Grenada,GRD,38
Guatemala,GTM,8149
Guyana,GUY,3426
Hungary,HUN,73891
Iceland,ISL,1108
Ireland,IRL,12574
Israel,ISR,11294
Italy,ITA,132060
Jamaica,JAM,184
Japan,JPN,806902
Kazakhstan,KAZ,101546
Kiribati,KIR,53
Kuwait,KWT,966
Kyrgyzstan,KGZ,13090
Latvia,LVA,12770
Lithuania,LTU,28039
Luxembourg,LUX,1958
Maldives,MDV,20
Malta,MLT,585
Mauritius,MUS,3894
Mexico,MEX,111139
Mongolia,MNG,423
Montenegro,MNE,472
Netherlands,NLD,50833
New Zealand,NZL,14383
Nicaragua,NIC,2013
Norway,NOR,16992
Oman,OMN,33
Panama,PAN,3483
Paraguay,PRY,4783
Philippines,PHL,21330
Poland,POL,139098
Portugal,PRT,24061
Puerto Rico,PRI,9043
Qatar,QAT,574
Republic of Korea,KOR,261730
Romania,ROU,72777
Russian Federation,RUS,1209742
Saint Kitts and Nevis,KNA,0
Saint Lucia,LCA,230
Saint Vincent and Grenadines,VCT,124
San Marino,SMR,4
Serbia,SRB,24179
Seychelles,SYC,98
Singapore,SGP,10089
Slovakia,SVK,13437
Slovenia,SVN,10615
South Africa,ZAF,7321
Spain,ESP,100202
Sri Lanka,LKA,55641
Suriname,SUR,2166
Sweden,SWE,37795
Switzerland,CHE,26217
Thailand,THA,110643
Trinidad and Tobago,TTO,4039
Turkey,TUR,10131
Turkmenistan,TKM,8624
Ukraine,UKR,319950
United Arab Emirates,ARE,622
United Kingdom,GBR,136805
United States,USA,1034013
Uruguay,URY,13138
Uzbekistan,UZB,34803
